#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-05-03T17:16:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5728dbdc0e7e 
#INFO -out.max=1000 
#INFO queryParameters=22 
#-oc.form=sexa
#-out.max=1000
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ5728dbdc0e7e&Clear= Clear&-c.r=  2&-order=I&-out.src=J/A+A/559/A43/table6&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-out=W1mag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-oc.form=sexa&-c.geom=r&-out.max=1000&-out.form=ascii text/plain&undefined=CDS, France&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#XV=XV
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    rc (pc)      (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)    (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)  (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s) (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)     (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)   (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    e_Jmag (mag) (F6.3)  Error of Jmag [ucd=stat.error;phot.mag;em.IR.J]
#    Hmag (mag)   (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    e_Hmag (mag) (F6.3)  Error of Hmag [ucd=stat.error;phot.mag;em.IR.H]
#    Kmag (mag)   (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    e_Kmag (mag) (F6.3)  Error of Kmag [ucd=stat.error;phot.mag;em.IR.K]
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
#            V     Vp                                                   
#rc    RV (  par ( erp ( M (   Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
#(pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  (mag) 
#----- ----- ----- ----- ----- ------ ------ ------ ------ ------ ------
# rc    RV   Vpar  Vperp Mass  Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag
 6.48 36.73 26.66 -0.43  0.37 10.786  0.022 10.129  0.024  9.888  0.018
13.25 38.24 24.45 -0.17  0.83  7.655  0.021  7.169  0.046  7.068  0.027
 4.01 38.28 24.38  0.45  0.27 11.361  0.021 10.754  0.023 10.483  0.019
 9.97 38.34 24.30 -0.88  0.38 11.049  0.023 10.453  0.032 10.190  0.024
 4.54 37.39 25.74  0.62  1.42  5.970  0.020  5.786  0.016  5.762  0.020
 1.91 37.75 25.20  0.00  1.38  5.944  0.021  5.794  0.016  5.746  0.016
 3.40 38.16 24.58 -0.12  1.47  5.784  0.023  5.666  0.033  5.595  0.018
 3.03 38.14 24.61 -1.26  0.29 11.296  0.021 10.686  0.022 10.441  0.017
 8.08 37.51 25.56 -0.37  0.20 11.510  0.022 10.901  0.020 10.629  0.017
 6.49 36.87 26.47  2.14  0.41 10.587  0.021 10.006  0.022  9.739  0.021
10.73 37.03 26.25 -1.26  0.44  9.885  0.024  9.224  0.020  8.982  0.019
 2.89 38.23 24.46 -0.44  1.69  5.052  0.023  5.016  0.021  4.960  0.017
14.00 38.40 24.20  2.52  0.42  9.857  0.026  9.259  0.026  9.002  0.019
 5.66 38.43 24.15 -0.12  0.94  7.620  0.024  7.135  0.033  6.948  0.018
 5.98 38.47 24.09  0.18  0.60  9.511  0.021  8.847  0.027  8.639  0.022
 7.50 38.19 24.54  0.00  0.42 10.775  0.022 10.138  0.020  9.912  0.017
 9.70 37.88 25.00  0.09  0.48  9.605  0.021  8.971  0.024  8.726  0.018
 3.82 37.57 25.46 -2.08  0.44 10.458  0.021  9.834  0.024  9.573  0.017
 2.00 38.22 24.48  0.39  1.31  5.869  0.018  5.640  0.023  5.558  0.018
10.07 38.06 24.73  0.44  1.06  6.575  0.020  6.326  0.033  6.203  0.018
 1.65 37.99 24.83 -0.01  2.60  2.094  0.248  1.579  0.198  1.643  0.228
 9.80 38.38 24.23 -0.07  0.54 10.122  0.020  9.467  0.020  9.251  0.017
 1.74 38.24 24.46  0.03  0.20 12.023  0.021 11.419  0.020 11.119  0.019
 4.84 37.55 25.50  0.12  0.34 11.048  0.020 10.453  0.021 10.162  0.019
 1.48 38.21 24.50 -0.48  0.29 11.241  0.022 10.632  0.022 10.356  0.017
 5.95 37.51 25.55 -0.11  1.01  7.531  0.019  7.197  0.017  7.121  0.016
 5.02 37.77 25.17 -0.14  0.99  7.722  0.024  7.281  0.021  7.151  0.020
 2.74 38.34 24.29 -0.26  0.43 10.472  0.022  9.894  0.022  9.630  0.018
 1.90 38.13 24.63 -0.38  1.77  5.040  0.020  5.009  0.023  4.945  0.021
 6.15 38.23 24.47 -0.45  0.76  8.193  0.023  7.647  0.040  7.494  0.018
 9.86 36.99 26.30 -0.26  1.37  6.285  0.021  6.141  0.016  6.092  0.016
 2.45 38.34 24.30  0.45  0.96  7.611  0.018  7.255  0.020  7.145  0.017
 3.84 38.25 24.44 -0.91  0.34 10.693  0.021 10.102  0.020  9.861  0.018
 3.48 38.35 24.29 -0.94  0.59  9.293  0.022  8.718  0.024  8.454  0.017
 6.86 38.64 23.82 -0.71  0.68  9.117  0.020  8.481  0.031  8.226  0.018
 3.06 38.42 24.17  0.98  0.74  8.506  0.023  7.925  0.021  7.786  0.021
10.86 37.96 24.88  0.05  0.20 12.353  0.021 11.772  0.022 11.494  0.018
 5.82 37.44 25.66  0.85  0.32 10.867  0.021 10.253  0.020  9.999  0.017
 0.97 38.19 24.53 -0.10  0.59  9.421  0.022  8.787  0.021  8.561  0.018
11.79 38.59 23.90  0.36  0.39 11.091  0.024 10.522  0.029 10.201  0.022
 1.15 38.12 24.64 -1.04  2.07  4.561  0.268  4.513  0.210  4.414  0.020
 4.59 37.47 25.62  0.02  0.72  8.627  0.024  8.066  0.023  7.886  0.020
18.69 38.36 24.26 -3.84  0.26 10.303  0.021  9.755  0.016  9.472  0.018
 1.92 38.40 24.21 -0.02  1.20  6.357  0.018  6.105  0.017  6.007  0.017
 9.19 38.25 24.44  0.51  1.16  7.081  0.021  6.883  0.029  6.797  0.020
 5.58 37.54 25.51  0.06  1.26  6.148  0.023  5.946  0.026  5.871  0.020
 4.78 38.57 23.93 -0.37  0.25 11.632  0.021 11.014  0.020 10.778  0.019
 1.91 38.07 24.71 -0.62  0.82  8.154  0.018  7.636  0.023  7.524  0.018
17.30 33.28 30.87 -3.11  0.17 12.141  0.026 11.554  0.032 11.277  0.023
 2.17 37.93 24.93 -2.12  0.19 12.029  0.022 11.423  0.024 11.133  0.018
 5.06 38.19 24.53 -0.43  1.40  6.059  0.019  5.935  0.018  5.892  0.018
 1.02 38.32 24.32 -0.31  0.36 10.765  0.022 10.184  0.021  9.897  0.018
 0.99 38.22 24.48  0.87  1.16  6.655  0.027  6.397  0.020  6.290  0.016
 2.00 37.97 24.86 -0.29  0.23 11.645  0.020 11.075  0.022 10.776  0.020
 2.55 38.49 24.05  0.00  0.20 11.901  0.022 11.324  0.021 11.055  0.019
19.51 38.34 24.30 -1.84  0.40 11.335  0.022 10.671  0.022 10.447  0.020
11.43 38.68 23.74 -2.66  1.00  7.563  0.027  7.209  0.047  7.032  0.026
 5.60 38.69 23.74 -2.37  0.46 10.304  0.023  9.656  0.027  9.468  0.021
 4.08 38.36 24.27 -1.89  0.79  8.716  0.020  8.065  0.018  7.852  0.020
 2.14 38.01 24.81  0.17  1.61  5.168  0.037  5.044  0.021  4.984  0.016
 6.28 38.26 24.42 -0.13  0.82  8.486  0.023  7.980  0.024  7.830  0.016
 1.36 38.25 24.43 -1.01  0.64  9.149  0.023  8.481  0.027  8.268  0.029
 5.53 38.05 24.75  0.37  0.61  9.594  0.022  8.958  0.020  8.706  0.018
12.97 38.79 23.57  0.28  0.58  8.908  0.026  8.316  0.049  8.061  0.026
 1.72 38.36 24.26 -0.24  0.20 11.867  0.022 11.296  0.024 10.982  0.018
12.74 38.80 23.56  0.66  0.32 10.422  0.023  9.836  0.028  9.572  0.020
 5.21 37.41 25.70  0.20  0.46 10.264  0.022  9.617  0.022  9.401  0.018
 8.98 37.41 25.70  0.51  0.60  9.731  0.021  9.106  0.022  8.859  0.017
 4.64 37.55 25.49 -0.30  2.34  4.093  0.284  4.064  0.228  4.077  0.470
 4.89 37.58 25.46 -0.30  1.84  5.086  0.250  4.921  0.230  4.607  0.016
 1.71 38.20 24.52  0.50  0.70  8.730  0.020  8.160  0.017  7.977  0.018
 1.26 38.20 24.51 -0.64  2.28  4.338  0.316  4.381  0.238  4.098  0.029
 6.57 38.83 23.51  1.94  0.17 12.324  0.023 11.729  0.031 11.403  0.021
 1.30 38.43 24.15 -0.67  1.50  5.524  0.024  5.285  0.024  5.254  0.023
11.24 38.08 24.69 -0.05  0.41 11.010  0.020 10.387  0.022 10.130  0.019
 1.74 38.28 24.40 -0.49  0.31 11.189  0.022 10.589  0.021 10.316  0.018
 2.40 38.22 24.48 -0.57  1.02  7.314  0.020  6.901  0.015  6.767  0.021
 1.50 38.54 23.98 -1.52  0.23 11.629  0.022 11.049  0.022 10.778  0.018
 4.19 38.66 23.79 -1.19  0.30 11.013  0.023 10.400  0.024 10.111  0.018
 2.12 38.12 24.64 -0.20  1.21  6.269  0.018  5.976  0.024  5.893  0.017
11.25 38.83 23.51 -0.76  1.31  6.415  0.030  6.213  0.051  6.110  0.021
 3.08 38.35 24.28 -1.03  0.33 10.887  0.022 10.276  0.025  9.987  0.022
 1.83 38.52 24.01 -0.18  1.22  6.456  0.018  6.210  0.023  6.140  0.021
23.46 30.10 33.98  3.35  0.26 11.001  0.023 10.409  0.023 10.118  0.018
 4.99 37.55 25.49  0.08  2.28  3.859  0.250  3.793  0.232  3.761  0.348
 4.55 37.78 25.15  0.45  1.28  6.342  0.019  6.150  0.026  6.073  0.021
 3.79 38.53 23.99 -1.18  2.13  4.167  0.252  3.954  0.236  4.028  0.236
 3.42 38.28 24.39  0.15  0.33 11.119  0.021 10.557  0.023 10.253  0.017
 1.98 38.41 24.18  2.21  1.13  6.841  0.052  6.556  0.033  6.436  0.027
 1.80 38.45 24.12  0.36  1.09  6.893  0.023  6.643  0.036  6.547  0.021
 7.08 38.79 23.56  0.30  0.88  7.824  0.018  7.209  0.023  7.030  0.024
 5.32 37.86 25.03 -0.20  0.67  8.724  0.020  8.076  0.021  7.936  0.023
 5.46 38.89 23.40 -0.88  0.97  7.528  0.039  6.968  0.033  6.882  0.020
 2.91 38.78 23.58 -0.12  0.76  8.432  0.041  7.917  0.029  7.795  0.031
 6.05 37.38 25.74  0.15  0.26 11.489  0.022 10.882  0.024 10.574  0.022
 0.96 38.53 24.00  0.11  0.15 12.498  0.037 11.851  0.034 11.710  0.041
 1.92 38.46 24.11 -0.94  0.53  9.714  0.019  9.067  0.028  8.826  0.024
 2.19 38.76 23.61  0.41  0.26 11.401  0.023 10.782  0.026 10.529  0.020
 2.11 38.75 23.63 -0.42  0.79  8.374  0.029  7.822  0.023  7.713  0.023
 1.43 38.66 23.79 -0.13  1.25  6.375  0.018  6.174  0.026  6.141  0.024
13.94 38.21 24.50  0.36  0.41 11.045  0.021 10.453  0.022 10.186  0.019
 9.28 38.60 23.88  1.26  0.33 11.398  0.023 10.730  0.027 10.484  0.024
23.32 30.23 33.86 -2.24  0.81  7.892  0.029  7.434  0.016  7.331  0.017
 4.42 38.95 23.31  0.45  1.21  6.424  0.018  6.222  0.029  6.158  0.017
 2.38 38.78 23.59  0.07  0.90  7.894  0.030  7.456  0.023  7.348  0.020
11.34 38.29 24.37 -0.38  0.74  9.045  0.032  8.480  0.029  8.354  0.018
 1.80 38.37 24.24 -0.04  0.84  8.152  0.026  7.655  0.016  7.533  0.018
 8.37 38.34 24.30 -0.31  0.54 10.053  0.020  9.467  0.022  9.219  0.019
 5.15 37.92 24.95 -0.38  1.77  5.163  0.017  5.103  0.017  5.055  0.018
 6.77 37.42 25.69  3.55  0.18 12.249  0.022 11.678  0.026 11.359  0.020
 2.36 38.85 23.47  0.37  0.97  7.506  0.027  7.142  0.044  7.003  0.021
 3.59 38.63 23.84  0.32  0.72  8.560  0.032  7.994  0.065  7.758  0.026
 3.94 38.88 23.42 -1.24  0.25 11.670  0.026 11.050  0.027 10.789  0.019
 2.35 38.81 23.54  0.51  1.62  5.209  0.026  5.114  0.026  5.027  0.023
 1.05 38.52 24.01 -2.06  0.79  8.592  0.021  7.956  0.026  7.711  0.026
 1.18 38.72 23.69  2.33  2.50  2.142  0.230  1.754  0.190  1.644  0.218
 2.17 38.34 24.29 -0.30  2.60  1.748  0.284  1.314  0.226  1.422  0.254
 3.16 38.26 24.41 -1.46  1.03  7.292  0.023  6.996  0.016  6.908  0.016
 1.77 38.73 23.66 -0.07  2.60  2.994  0.206  2.997  0.212  2.880  0.264
 0.99 38.60 23.88 -0.04  1.15  6.696  0.024  6.462  0.026  6.404  0.020
 2.97 38.98 23.25  0.42  1.98  4.793  0.198  4.656  0.204  4.534  0.033
 2.13 38.71 23.70  0.32  0.91  8.114  0.023  7.555  0.038  7.349  0.021
 0.47 38.74 23.66  1.21  1.44  5.527  0.026  5.305  0.044  5.220  0.020
 1.33 38.72 23.69  0.35  0.45 10.266  0.026  9.625  0.030  9.374  0.019
 1.60 38.45 24.12 -2.08  0.58  9.571  0.021  8.947  0.022  8.690  0.019
18.50 39.16 22.94 -1.62  0.28 12.004  0.021 11.415  0.023 11.119  0.026
 7.73 37.14 26.09 -1.46  0.56  9.680  0.021  9.038  0.021  8.827  0.018
 1.48 38.84 23.48 -2.22  0.62  9.308  0.024  8.706  0.031  8.486  0.020
 4.39 39.06 23.11 -0.13  0.42 10.537  0.027  9.924  0.030  9.677  0.020
 0.91 38.62 23.85 -0.02  1.33  6.027  0.026  5.774  0.040  5.724  0.020
 1.33 38.60 23.89 -0.10  1.35  6.045  0.029  5.887  0.033  5.809  0.023
15.25 37.07 26.18 -0.72  1.00  7.844  0.021  7.534  0.027  7.462  0.029
 1.85 38.78 23.59  0.97  0.86  8.224  0.024  7.689  0.021  7.515  0.021
 1.95 38.59 23.89  0.20  0.94  7.524  0.024  7.149  0.023  7.055  0.027
 8.29 37.10 26.14 -2.16  0.26 11.564  0.021 10.941  0.022 10.648  0.020
 5.03 38.06 24.73 -0.38  0.42 10.227  0.019  9.635  0.016  9.413  0.016
13.03 37.85 25.05  1.00  0.74  9.096  0.022  8.496  0.020  8.368  0.019
 3.15 38.75 23.64  0.08  0.56  9.524  0.023  8.901  0.034  8.653  0.022
 0.86 38.78 23.59 -0.06  0.93  7.619  0.024  7.211  0.027  7.139  0.024
 7.99 37.97 24.86 -0.90  0.13 12.562  0.021 11.992  0.021 11.648  0.020
28.32 39.21 22.87 -1.48  0.79  9.454  0.022  8.861  0.029  8.716  0.025
 1.78 38.90 23.39  0.27  1.72  4.853  0.037  5.031  0.280  4.690  0.018
11.22 37.21 25.99 -2.44  0.26 11.803  0.021 11.156  0.022 10.913  0.017
 5.92 38.41 24.19  1.53  1.37  6.105  0.024  5.890  0.033  5.843  0.023
10.42 38.72 23.68  0.86  0.51 10.362  0.024  9.795  0.027  9.492  0.022
 0.75 38.88 23.41  0.25  2.08  4.773  0.224  4.677  0.200  4.364  0.036
 3.35 39.02 23.19 -0.74  0.42 10.563  0.019  9.954  0.022  9.712  0.018
 3.11 38.93 23.34  0.39  1.08  7.336  0.034  6.902  0.021  6.817  0.018
 2.94 39.11 23.04  0.18  1.80  5.221  0.312  4.834  0.036  4.748  0.017
 6.66 37.94 24.92 -0.59  0.66  9.248  0.023  8.579  0.033  8.378  0.024
 0.99 38.94 23.32  0.11  1.80  5.458  0.242  4.967  0.036  4.903  0.023
 7.67 39.04 23.15 -0.32  0.17 11.932  0.023 11.355  0.022 11.026  0.017
11.98 38.00 24.83 -0.39  0.46 10.624  0.026 10.013  0.030  9.787  0.018
 2.93 38.91 23.37  0.58  1.51  5.627  0.023  5.448  0.026  5.383  0.018
15.97 38.89 23.41  0.37  0.20 11.403  0.023 10.830  0.024 10.527  0.020
 6.67 37.59 25.44  0.08  0.23 11.588  0.022 10.973  0.020 10.676  0.018
 4.84 39.30 22.70  0.06  1.33  6.139  0.034  5.944  0.029  5.893  0.020
 5.59 39.23 22.83 -0.32  0.47  9.945  0.021  9.374  0.022  9.085  0.020
 6.99 38.92 23.35  1.27  0.39 10.895  0.021 10.281  0.022 10.037  0.021
 3.65 39.24 22.80  1.95  0.18 12.201  0.022 11.610  0.022 11.305  0.023
 2.92 38.45 24.11 -1.54  1.02  7.259  0.020  6.965  0.063  6.884  0.023
 5.03 39.33 22.65  0.23  0.39 10.535  0.029  9.944  0.033  9.676  0.024
 3.74 39.27 22.77  1.56  0.28 11.298  0.024 10.704  0.031 10.401  0.024
 7.98 39.33 22.65  0.33  0.19 11.643  0.024 11.017  0.033 10.772  0.019
 5.93 39.18 22.92 -0.62  1.22  6.733  0.020  6.572  0.051  6.455  0.021
 1.63 38.81 23.53  0.51  0.91  7.726  0.020  7.293  0.031  7.170  0.020
 8.91 38.34 24.30  1.89  0.17 12.654  0.029 12.058  0.036 11.762  0.026
 2.54 39.04 23.15 -1.13  1.58  5.306  0.019  5.227  0.024  5.146  0.016
 2.29 39.08 23.09 -0.23  0.76  8.667  0.023  8.034  0.016  7.895  0.024
 9.86 39.44 22.46  0.19  1.44  5.593  0.024  5.385  0.020  5.333  0.021
 1.16 38.87 23.44 -1.04  0.35 10.898  0.021 10.288  0.022  9.986  0.018
 3.35 38.88 23.42 -0.90  0.34 10.753  0.021 10.161  0.019  9.913  0.017
 3.23 39.32 22.67 -0.31  0.78  8.423  0.026  7.791  0.033  7.654  0.020
23.31 38.87 23.44  1.57  0.44 11.211  0.022 10.644  0.021 10.375  0.018
13.02 38.47 24.08 -0.12  0.29 11.762  0.027 11.192  0.030 10.890  0.019
 6.28 38.73 23.66 -1.01  0.30 10.794  0.027 10.177  0.034  9.979  0.019
 4.02 38.73 23.67 -0.77  0.78  8.569  0.024  8.032  0.042  7.898  0.034
10.34 37.70 25.27  0.45  0.22 12.075  0.021 11.465  0.022 11.205  0.021
 3.97 39.42 22.51 -0.37  0.34 10.846  0.021 10.227  0.018  9.989  0.019
 1.09 39.12 23.02 -0.43  1.05  7.285  0.021  6.859  0.016  6.770  0.016
 1.79 39.15 22.97  0.31  1.02  7.323  0.019  7.017  0.020  6.941  0.026
 7.08 38.04 24.77  0.09  0.26 11.652  0.021 11.016  0.021 10.758  0.018
23.12 38.81 23.53 -1.27  0.20 12.535  0.026 11.970  0.026 11.621  0.028
29.89 29.28 34.68 -2.44  0.80  8.749  0.041  8.142  0.057  7.992  0.021
 6.21 37.98 24.85 -0.72  0.72  8.914  0.020  8.242  0.027  8.028  0.026
 5.39 39.42 22.50 -2.28  0.51  9.683  0.021  9.069  0.022  8.822  0.019
20.19 39.50 22.36 -2.52  0.37 11.505  0.022 10.932  0.023 10.647  0.018
 4.91 38.51 24.02  0.12  0.75  8.427  0.023  7.835  0.020  7.686  0.026
 2.87 39.11 23.03  0.66  0.91  7.839  0.021  7.420  0.026  7.351  0.024
 2.31 38.84 23.49  0.38  0.74  8.535  0.021  7.977  0.020  7.820  0.023
 5.64 38.87 23.43 -0.66  0.30 10.907  0.020 10.321  0.021 10.046  0.020
 3.09 39.44 22.47  0.11  1.42  5.759  0.020  5.612  0.018  5.558  0.023
 2.31 39.32 22.67 -0.62  2.11  4.311  0.262  4.288  0.228  4.074  0.036
 2.31 38.94 23.32 -0.18  0.20 11.849  0.020 11.241  0.023 10.966  0.018
 1.91 39.13 23.00  1.26  0.37 10.859  0.020 10.229  0.022  9.962  0.019
 2.36 39.30 22.70 -2.17  1.02  6.989  0.026  6.576  0.024  6.465  0.024
12.46 39.40 22.54  0.41  0.66  9.531  0.021  8.861  0.033  8.690  0.018
 6.54 39.58 22.22 -1.93  0.75  8.890  0.023  8.300  0.046  8.059  0.029
 7.58 39.29 22.72  0.54  0.91  8.061  0.021  7.670  0.023  7.553  0.026
 1.57 39.33 22.66 -0.70  1.14  6.745  0.018  6.552  0.031  6.445  0.026
20.32 39.71 21.98  1.19  0.31 11.725  0.021 11.174  0.030 10.930  0.021
 2.00 39.36 22.60 -1.51  0.65  9.042  0.030  8.410  0.021  8.235  0.021
 3.33 38.74 23.65  0.09  0.74  8.654  0.029  8.030  0.023  7.914  0.024
 9.71 39.75 21.91 -0.19  0.79  8.828  0.021  8.142  0.021  7.973  0.020
20.55 37.95 24.89 -3.73  0.49 10.790  0.021 10.185  0.022  9.923  0.020
 3.23 39.57 22.24  0.75  0.37 10.675  0.021 10.100  0.022  9.825  0.018
 5.86 38.33 24.31 -0.48  0.33 11.127  0.022 10.530  0.021 10.250  0.018
 6.26 39.73 21.95  0.52  0.27 11.179  0.026 10.547  0.032 10.282  0.019
 2.18 39.42 22.50 -1.41  0.29 11.320  0.022 10.721  0.022 10.438  0.018
28.63 39.59 22.19 -0.83  0.38 11.726  0.021 11.133  0.020 10.874  0.020
 6.99 39.63 22.13 -1.05  0.42 10.731  0.022 10.108  0.022  9.867  0.018
 3.22 38.92 23.35 -0.34  0.38 10.733  0.022 10.136  0.022  9.862  0.020
 5.16 39.35 22.62 -0.44  0.86  8.358  0.058  7.822  0.024  7.627  0.026
 5.42 39.07 23.10 -1.23  0.57  9.772  0.022  9.148  0.027  8.918  0.023
 4.48 39.45 22.45 -0.11  0.92  7.860  0.018  7.505  0.021  7.373  0.015
 7.13 38.38 24.24  0.63  1.54  5.205  0.037  5.062  0.015  4.985  0.020
11.50 39.08 23.08  0.01  0.48 10.590  0.022  9.968  0.024  9.707  0.020
 5.36 38.45 24.13 -0.15  0.47 10.155  0.023  9.538  0.020  9.298  0.020
 3.60 39.16 22.95 -0.68  0.51  9.777  0.022  9.153  0.023  8.940  0.020
 2.65 39.48 22.39  0.66  1.46  5.779  0.020  5.609  0.018  5.556  0.021
27.69 37.60 25.42 -0.47  0.93  5.945  0.023  5.400  0.018  5.240  0.023
 9.98 38.18 24.54  1.45  0.17 12.515  0.022 11.910  0.021 11.645  0.021
25.93 32.71 31.47 -3.03  0.16 11.075  0.022 10.478  0.021 10.206  0.018
12.45 38.89 23.41 -1.39  0.38 11.113  0.020 10.523  0.021 10.281  0.020
 6.03 39.83 21.77 -0.22  0.25 11.714  0.024 11.126  0.022 10.827  0.018
 6.29 39.87 21.69 -0.54  0.25 11.634  0.024 11.067  0.031 10.784  0.020
 5.85 39.12 23.02  0.04  0.51 10.182  0.023  9.572  0.021  9.311  0.018
 2.66 39.63 22.12  1.03  1.23  6.365  0.021  6.099  0.017  5.992  0.021
 4.68 39.47 22.42  0.69  0.43 10.633  0.024 10.011  0.026  9.723  0.021
 9.96 39.97 21.51  0.69  0.40 10.620  0.024 10.033  0.022  9.749  0.024
10.47 39.98 21.49  0.06  0.70  8.960  0.029  8.312  0.046  8.149  0.029
 6.58 39.60 22.18 -1.87  1.58  5.398  0.364  4.995  0.016  4.977  0.018
 4.42 39.89 21.65  0.22  2.26  4.117  0.258  4.078  0.228  4.105  0.334
 7.59 39.96 21.53  0.47  0.30 11.410  0.021 10.805  0.030 10.529  0.020
 2.24 39.62 22.14 -0.25  0.27 11.384  0.021 10.790  0.022 10.526  0.020
 3.19 39.45 22.44 -0.97  0.97  7.890  0.027  7.329  0.031  7.138  0.023
 6.07 38.86 23.45  0.01  0.18 11.950  0.022 11.341  0.022 11.073  0.018
 6.50 38.62 23.85 -0.54  1.19  6.454  0.021  6.198  0.016  6.162  0.023
 3.05 39.28 22.74 -0.34  0.48 10.163  0.020  9.506  0.021  9.266  0.020
 4.12 39.85 21.73 -0.01  1.11  6.814  0.037  6.520  0.029  6.443  0.021
 7.60 40.13 21.20 -0.21  1.86  5.180  0.254  4.928  0.029  4.808  0.020
 8.12 39.71 21.98  0.55  2.27  4.682  0.294  4.547  0.222  4.229  0.036
25.01 37.60 25.43 -0.26  0.35 11.018  0.023 10.411  0.023 10.110  0.019
 7.23 38.62 23.85 -1.05  0.17 12.474  0.023 11.885  0.020 11.538  0.018
 4.35 39.50 22.36 -0.42  0.13 12.689  0.023 12.048  0.021 11.736  0.021
 4.88 40.03 21.39  0.04  0.81  8.089  0.021  7.602  0.023  7.480  0.023
 4.35 39.29 22.72 -1.17  0.30 11.365  0.022 10.774  0.022 10.441  0.017
17.47 39.01 23.21  0.15  0.57 10.317  0.020  9.612  0.020  9.423  0.017
 6.32 38.71 23.70  0.08  0.69  8.738  0.026  8.059  0.020  7.915  0.024
16.48 35.96 27.70 -1.64  0.16 12.729  0.021 12.109  0.028 11.856  0.025
15.13 38.69 23.73 -0.52  0.98  7.996  0.020  7.631  0.016  7.565  0.020
 7.78 38.23 24.47 -0.84  0.83  8.168  0.023  7.583  0.027  7.385  0.021
 3.08 39.38 22.57 -0.77  0.50  9.948  0.021  9.363  0.023  9.120  0.022
 2.34 39.75 21.91  0.00  1.07  7.358  0.026  6.809  0.021  6.685  0.023
 7.93 39.56 22.24 -0.15  0.33 10.636  0.021 10.027  0.019  9.757  0.016
25.07 39.58 22.22 -0.09  0.21 12.830  0.021 12.204  0.019 11.917  0.022
22.73 40.11 21.24  2.33  0.64  7.894  0.023  7.255  0.047  7.032  0.017
19.67 38.65 23.79 -3.96  1.10  7.601  0.024  7.300  0.023  7.231  0.024
 6.63 40.28 20.92 -1.25  0.22 11.696  0.022 11.132  0.030 10.823  0.022
17.28 40.26 20.96 -0.21  0.23 12.236  0.021 11.602  0.028 11.353  0.021
 7.15 39.36 22.61  0.46  0.13 12.627  0.019 12.047  0.019 11.702  0.018
28.14 36.22 27.35  1.71  1.03  8.113  0.021  7.786  0.042  7.689  0.016
 5.16 40.08 21.31 -0.55  0.60  9.576  0.021  8.938  0.024  8.712  0.021
 4.59 40.22 21.04 -0.22  0.57  9.613  0.022  8.981  0.022  8.754  0.020
11.87 40.32 20.84  3.36  0.50 10.205  0.027  9.609  0.027  9.348  0.021
12.02 40.38 20.73 -0.38  0.29 11.537  0.022 11.014  0.030 10.707  0.025
 8.92 40.28 20.92  0.36  0.56  9.988  0.022  9.365  0.022  9.119  0.017
 3.43 40.14 21.20 -0.16  0.21 11.889  0.021 11.295  0.023 11.011  0.018
 5.83 39.77 21.87 -0.80  0.38 10.860  0.024 10.283  0.027 10.020  0.022
 5.32 39.57 22.23 -0.89  0.38 10.822  0.025 10.224  0.034  9.994  0.020
