#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-09-06T20:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ59b05d086866	
#INFO	-out.max=1000	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43/table6&HTTPPRM:&&-ref=VIZ59b05d086866&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/A+A/559/A43/table6&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&Vperp=< 2 & >-2&-out=M&-out=Jmag&-out=e_Jmag&-out=Hmag&-out=e_Hmag&-out=Kmag&-out=e_Kmag&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-sort=_r
#-order=I
#-out.src=J/A+A/559/A43/table6
#-sort=_r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#Vperp=< 2 & >-2
#-out=M
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#

#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
_RAJ2000	_DEJ2000	Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag
061.053368	+18.995712	     128	061.0533683	+18.9957119	113.25	 -30.53	19.97	 6.41	35.85	27.84	-0.43	 0.22	11.918	 0.021	11.338	 0.022	11.063	 0.018
061.112650	+20.408458	     129	061.1126500	+20.4084575	122.92	 -37.37	21.72	 5.47	35.69	28.04	-0.45	 0.29	11.210	 0.024	10.594	 0.027	10.325	 0.018
061.282503	+29.285481	     131	061.2825031	+29.2854811	129.03	 -65.29	22.92	11.03	34.14	29.90	-0.36	 0.19	11.863	 0.023	11.324	 0.030	11.036	 0.026
061.307649	+37.711464	     132	061.3076492	+37.7114636	 89.47	 -55.97	15.46	27.52	31.85	32.33	 1.07	 0.23	12.416	 0.027	11.759	 0.032	11.514	 0.023
061.356962	+19.442162	     133	061.3569622	+19.4421619	122.62	 -28.44	21.50	 4.95	35.93	27.74	 0.92	 0.68	 8.889	 0.032	 8.259	 0.027	 8.107	 0.026
061.415306	+17.937710	     134	061.4153064	+17.9377097	126.05	 -28.09	22.28	 4.66	36.13	27.47	 0.25	 0.89	 7.748	 0.030	 7.365	 0.038	 7.254	 0.023
061.509349	+18.250895	     136	061.5093494	+18.2508953	142.24	 -32.04	25.16	 7.80	36.14	27.46	 0.41	 0.53	 9.488	 0.021	 8.820	 0.020	 8.598	 0.020
061.567198	+15.698117	     137	061.5671978	+15.6981175	118.45	 -20.70	21.04	 4.59	36.41	27.10	 0.16	 1.17	 6.753	 0.024	 6.532	 0.036	 6.446	 0.024
061.586000	+19.027496	     138	061.5859997	+19.0274961	115.34	 -28.53	20.45	 5.41	36.08	27.54	 0.33	 0.29	11.341	 0.022	10.756	 0.020	10.471	 0.018
061.644306	+13.549076	     139	061.6443061	+13.5490758	113.06	 -13.57	20.11	 6.16	36.60	26.84	 0.27	 0.53	 9.982	 0.024	 9.258	 0.030	 9.091	 0.018
061.755111	+15.335028	     140	061.7551106	+15.3350275	126.04	 -20.70	22.47	 4.60	36.53	26.94	 0.25	 0.77	 8.365	 0.026	 7.811	 0.049	 7.665	 0.026
061.763521	+20.280816	     141	061.7635211	+20.2808156	165.48	 -45.49	29.42	13.07	36.00	27.65	 0.44	 0.18	11.450	 0.020	10.858	 0.022	10.556	 0.018
061.891548	+12.188090	     142	061.8915478	+12.1880903	 77.97	  -9.73	14.01	25.98	36.79	26.59	-0.68	 0.18	13.092	 0.027	12.515	 0.035	12.200	 0.023
061.924931	+15.162785	     143	061.9249308	+15.1627850	127.73	 -23.86	22.96	 4.94	36.62	26.82	-0.40	 1.56	 5.244	 0.999	 5.055	 0.031	 5.030	 0.026
061.929999	+16.518788	     144	061.9299994	+16.5187883	123.86	 -25.56	22.22	 4.18	36.50	26.98	-0.06	 0.82	 8.105	 0.024	 7.599	 0.042	 7.511	 0.026
062.046224	+16.873084	     145	062.0462242	+16.8730842	133.21	 -23.02	23.76	 5.65	36.52	26.95	 1.06	 0.67	 8.766	 0.026	 8.106	 0.042	 7.933	 0.024
062.077042	+13.523875	     146	062.0770419	+13.5238747	100.04	  -5.85	17.83	11.04	36.80	26.57	 1.96	 1.07	 7.185	 0.037	 6.749	 0.040	 6.645	 0.029
062.111106	+12.191841	     147	062.1111058	+12.1918408	115.99	 -12.97	20.92	 5.63	36.89	26.45	-0.30	 0.71	 8.818	 0.029	 8.171	 0.042	 8.046	 0.027
062.150875	+23.768604	     148	062.1508750	+23.7686042	119.96	 -45.66	21.63	 6.82	35.62	28.13	-0.01	 0.89	 7.840	 0.023	 7.441	 0.023	 7.323	 0.015
062.167401	+23.557117	     149	062.1674008	+23.5571169	117.90	 -46.88	21.42	 6.71	35.67	28.07	-0.54	 0.61	 9.380	 0.026	 8.792	 0.026	 8.529	 0.024
062.226531	+29.190663	     150	062.2265308	+29.1906631	 83.60	 -40.06	14.92	24.35	34.55	29.44	 0.69	 1.24	 7.125	 0.024	 6.856	 0.047	 6.768	 0.026
062.455624	+09.305498	     152	062.4556239	+09.3054983	155.78	  -2.77	28.29	12.57	37.13	26.11	 0.34	 0.75	 7.912	 0.019	 7.340	 0.023	 7.264	 0.020
062.487983	+16.378255	     153	062.4879833	+16.3782553	155.47	 -33.08	28.30	11.44	36.76	26.62	-0.17	 0.14	12.085	 0.026	11.464	 0.030	11.154	 0.018
062.669977	+14.733597	     154	062.6699767	+14.7335972	118.12	 -15.57	21.45	 3.83	36.98	26.32	 0.91	 0.17	12.388	 0.023	11.795	 0.030	11.421	 0.026
062.676517	+18.423253	     155	062.6765167	+18.4232528	123.34	 -31.39	22.51	 4.07	36.63	26.81	 0.10	 1.41	 5.795	 0.020	 5.625	 0.020	 5.572	 0.021
062.680610	+32.934700	     156	062.6806097	+32.9347003	149.81	 -79.18	26.45	14.85	33.78	30.32	 1.73	 0.53	 9.313	 0.022	 8.612	 0.049	 8.471	 0.020
062.736544	+27.487565	     157	062.7365444	+27.4875653	115.12	 -62.68	21.60	 9.29	35.14	28.73	-1.50	 0.39	10.594	 0.020	10.018	 0.022	 9.750	 0.022
062.775546	+18.929108	     158	062.7755464	+18.9291083	110.08	 -31.31	20.22	 5.01	36.61	26.83	-0.30	 0.32	11.145	 0.021	10.573	 0.022	10.292	 0.017
062.834507	+05.523049	     159	062.8345067	+05.5230494	146.55	   5.83	26.83	12.53	37.27	25.90	-0.60	 1.56	 5.062	 0.017	 4.995	 0.118	 4.821	 0.021
062.865181	+15.992146	     160	062.8651811	+15.9921458	121.00	 -19.24	22.03	 3.43	36.96	26.35	 1.05	 0.35	10.807	 0.019	10.236	 0.029	 9.941	 0.021
062.984257	+23.636323	     161	062.9842572	+23.6363228	137.72	 -56.36	25.51	 9.24	35.99	27.65	-0.44	 1.05	 7.148	 0.030	 6.563	 0.016	 6.409	 0.024
063.014002	+20.831320	     162	063.0140025	+20.8313203	135.81	 -44.47	25.05	 7.69	36.45	27.04	-0.12	 0.18	11.732	 0.022	11.149	 0.022	10.885	 0.018
063.031703	+17.626141	     163	063.0317025	+17.6261411	127.91	 -33.60	23.68	 5.14	36.87	26.47	-0.49	 0.41	10.275	 0.023	 9.690	 0.031	 9.414	 0.021
063.090549	+16.250938	     165	063.0905489	+16.2509378	149.79	 -31.46	27.65	10.54	37.03	26.24	-0.02	 0.45	 9.736	 0.024	 9.095	 0.030	 8.867	 0.022
063.197333	+22.390832	     166	063.1973328	+22.3908322	118.27	 -45.80	22.05	 5.50	36.29	27.26	-0.56	 0.31	11.061	 0.021	10.497	 0.028	10.165	 0.018
063.208026	+11.246238	     167	063.2080256	+11.2462378	138.58	  -5.97	25.57	 8.75	37.41	25.70	 1.03	 0.15	12.129	 0.021	11.495	 0.027	11.234	 0.022
063.273378	+15.247777	     169	063.2733781	+15.2477775	120.55	 -21.09	22.31	 3.49	37.20	26.01	 0.27	 0.27	11.303	 0.021	10.732	 0.020	10.444	 0.019
063.468163	+15.365003	     170	063.4681628	+15.3650033	122.76	 -27.21	23.00	 4.10	37.27	25.90	-0.78	 0.38	10.541	 0.024	 9.975	 0.023	 9.700	 0.020
063.606878	+14.625035	     172	063.6068778	+14.6250347	106.63	 -19.78	19.98	 4.99	37.39	25.73	-0.32	 1.07	 7.216	 0.029	 6.916	 0.024	 6.825	 0.017
063.610157	+05.180571	     173	063.6101572	+05.1805714	 88.12	  13.18	16.57	17.87	37.61	25.42	 1.96	 1.03	 7.934	 0.021	 7.520	 0.026	 7.425	 0.020
063.613564	+12.435318	     174	063.6135644	+12.4353178	116.40	 -11.76	21.73	 4.40	37.54	25.52	 0.38	 1.11	 6.856	 0.019	 6.607	 0.021	 6.534	 0.017
063.624307	+18.730024	     175	063.6243069	+18.7300239	107.54	 -37.48	20.48	 4.07	36.99	26.30	-1.69	 0.47	10.294	 0.021	 9.711	 0.024	 9.427	 0.017
063.626754	+22.451865	     176	063.6267536	+22.4518653	 96.24	 -33.70	17.87	11.27	36.46	27.04	 0.53	 1.43	 6.207	 0.019	 6.082	 0.023	 6.005	 0.021
063.634651	+23.574944	     177	063.6346511	+23.5749439	122.54	 -48.72	22.91	 6.53	36.27	27.29	 0.07	 1.09	 6.877	 0.026	 6.599	 0.020	 6.516	 0.020
063.643085	+10.701381	     178	063.6430847	+10.7013808	118.63	  -7.88	22.19	 5.63	37.62	25.39	 0.13	 1.30	 6.128	 0.019	 5.915	 0.021	 5.862	 0.017
063.709254	+24.377064	     180	063.7092542	+24.3770636	104.74	 -45.11	19.70	 8.30	36.15	27.44	-0.21	 0.17	12.479	 0.020	11.903	 0.022	11.593	 0.021
063.716384	+13.054954	     181	063.7163839	+13.0549536	112.83	 -18.61	21.25	 4.07	37.55	25.50	-0.80	 0.80	 8.445	 0.029	 7.828	 0.017	 7.688	 0.017
063.723017	+27.757764	     182	063.7230172	+27.7577636	233.98	-119.11	43.94	24.45	35.47	28.32	-0.08	 0.44	 8.763	 0.018	 8.146	 0.024	 7.901	 0.033
063.793383	+14.398463	     184	063.7933828	+14.3984625	119.67	 -15.19	22.33	 3.50	37.49	25.59	 1.04	 0.66	 8.947	 0.026	 8.294	 0.021	 8.128	 0.017
063.885714	+20.807594	     185	063.8857144	+20.8075942	130.36	 -42.12	24.47	 6.70	36.82	26.54	 0.27	 0.18	11.960	 0.024	11.336	 0.023	11.008	 0.020
063.890368	+15.706270	     186	063.8903683	+15.7062700	121.33	 -21.97	22.75	 3.49	37.42	25.68	 0.55	 0.72	 8.558	 0.026	 7.982	 0.021	 7.853	 0.023
063.895177	+16.762392	     188	063.8951767	+16.7623922	106.45	 -27.85	20.19	 4.11	37.33	25.83	-0.76	 0.34	11.050	 0.020	10.472	 0.022	10.215	 0.019
063.926822	+20.819794	     189	063.9268219	+20.8197944	110.26	 -36.43	20.76	 4.59	36.83	26.52	 0.12	 1.18	 6.537	 0.027	 6.257	 0.017	 6.190	 0.017
063.942852	+15.400696	     190	063.9428522	+15.4006958	115.78	 -21.72	21.80	 2.71	37.47	25.61	 0.20	 1.52	 5.514	 0.034	 5.401	 0.024	 5.326	 0.016
063.988213	+46.726665	     191	063.9882131	+46.7266647	135.62	-134.19	26.19	23.33	29.47	34.52	-0.81	 0.19	11.583	 0.022	11.049	 0.030	10.752	 0.021
064.006037	+16.983104	     192	064.0060372	+16.9831039	117.32	 -36.91	22.55	 3.07	37.35	25.79	-1.85	 0.34	10.806	 0.022	10.196	 0.022	 9.916	 0.017
064.014953	+18.859211	     193	064.0149531	+18.8592111	113.78	 -33.94	21.57	 2.95	37.14	26.09	-0.29	 0.45	10.247	 0.021	 9.654	 0.022	 9.410	 0.017
064.054675	+18.884501	     195	064.0546750	+18.8845006	119.59	 -33.59	22.58	 3.53	37.15	26.08	 0.16	 0.63	 9.062	 0.023	 8.448	 0.023	 8.268	 0.017
064.105903	+14.171442	     197	064.1059031	+14.1714417	136.58	 -19.61	25.78	 8.06	37.64	25.37	 0.53	 0.28	10.925	 0.020	10.321	 0.020	10.049	 0.019
064.139491	+21.907471	     198	064.1394914	+21.9074708	105.16	 -37.15	19.85	 6.41	36.75	26.63	 0.31	 0.95	 7.701	 0.020	 7.376	 0.018	 7.275	 0.023
064.180416	+16.822211	     200	064.1804164	+16.8222108	 97.36	 -29.97	18.78	 7.34	37.44	25.66	-1.73	 0.35	11.161	 0.022	10.565	 0.020	10.275	 0.019
064.226941	+16.356928	     201	064.2269406	+16.3569278	110.97	 -29.30	21.27	 2.37	37.50	25.56	-0.97	 0.42	10.434	 0.020	 9.813	 0.020	 9.585	 0.017
064.354793	+19.029911	     202	064.3547931	+19.0299111	112.54	 -30.47	21.31	 2.91	37.26	25.92	 0.59	 0.74	 8.597	 0.021	 7.994	 0.018	 7.909	 0.023
064.367235	+14.901045	     203	064.3672347	+14.9010447	103.22	 -25.07	19.89	 4.78	37.69	25.29	-1.36	 0.44	10.471	 0.022	 9.869	 0.023	 9.621	 0.019
064.412255	+16.947859	     205	064.4122553	+16.9478589	112.53	 -21.36	21.24	 2.25	37.52	25.54	 1.26	 1.07	 6.865	 0.020	 6.486	 0.016	 6.397	 0.018
064.415450	+12.414846	     206	064.4154503	+12.4148461	120.39	 -17.78	23.06	 4.93	37.88	25.01	-0.65	 0.34	10.746	 0.021	10.136	 0.023	 9.868	 0.018
064.448721	+13.661776	     207	064.4487214	+13.6617756	106.91	 -19.84	20.53	 4.08	37.82	25.10	-0.76	 0.62	 9.405	 0.022	 8.720	 0.018	 8.527	 0.019
064.460972	+18.475188	     208	064.4609722	+18.4751875	111.07	 -34.92	21.42	 2.52	37.37	25.76	-0.76	 0.52	 9.841	 0.022	 9.246	 0.022	 8.992	 0.018
064.465098	+15.227141	     209	064.4650981	+15.2271406	100.12	 -26.98	19.41	 5.76	37.71	25.26	-1.76	 0.33	11.224	 0.021	10.638	 0.022	10.365	 0.017
064.481527	+14.546253	     210	064.4815275	+14.5462528	 99.11	 -20.60	19.06	 6.78	37.77	25.17	-0.72	 0.39	10.871	 0.020	10.276	 0.024	10.017	 0.017
064.507661	+18.256805	     211	064.5076614	+18.2568053	115.29	 -31.07	22.03	 2.51	37.41	25.70	 0.18	 1.21	 6.279	 0.018	 6.032	 0.016	 5.950	 0.017
064.535644	+13.331280	     212	064.5356439	+13.3312803	111.15	 -16.61	21.30	 3.46	37.88	25.01	-0.07	 0.47	10.288	 0.025	 9.698	 0.024	 9.352	 0.019
064.537524	+17.416257	     213	064.5375242	+17.4162569	109.69	 -31.31	21.17	 2.28	37.52	25.54	-0.72	 0.24	11.647	 0.022	11.083	 0.023	10.759	 0.018
064.544953	+23.284651	     214	064.5449528	+23.2846514	 92.02	 -38.77	17.71	11.91	36.68	26.73	-0.28	 1.13	 7.585	 0.019	 7.077	 0.029	 6.937	 0.016
064.554135	+16.098119	     215	064.5541353	+16.0981189	103.39	 -25.75	19.94	 4.38	37.67	25.33	-0.69	 0.27	11.583	 0.021	10.970	 0.022	10.704	 0.017
064.580301	+16.088342	     216	064.5803008	+16.0883419	119.68	 -19.22	22.67	 2.97	37.68	25.31	 1.46	 0.86	 7.880	 0.023	 7.423	 0.023	 7.322	 0.017
064.591639	+17.421641	     217	064.5916389	+17.4216408	121.18	 -40.70	23.70	 4.56	37.55	25.50	-1.88	 0.88	 7.840	 0.021	 7.300	 0.024	 7.162	 0.017
064.596671	+21.579295	     218	064.5966711	+21.5792947	 94.88	 -34.88	18.22	 9.79	36.99	26.30	-0.05	 1.89	 5.058	 0.037	 4.936	 0.059	 4.903	 0.020
064.641018	+18.364715	     220	064.6410175	+18.3647153	114.22	 -41.37	22.40	 2.84	37.46	25.63	-1.88	 0.24	11.490	 0.023	10.922	 0.022	10.601	 0.017
064.676028	+12.510702	     221	064.6760283	+12.5107019	113.32	 -14.71	21.80	 3.90	37.98	24.85	-0.11	 0.31	11.062	 0.020	10.480	 0.022	10.205	 0.019
064.681024	+03.254920	     222	064.6810239	+03.2549203	139.26	   8.24	26.57	13.21	37.99	24.84	-1.60	 0.14	12.183	 0.027	11.614	 0.024	11.285	 0.023
064.695989	+13.366315	     223	064.6959894	+13.3663147	112.74	 -20.20	21.79	 3.31	37.94	24.91	-0.74	 0.64	 9.121	 0.020	 8.481	 0.026	 8.300	 0.018
064.732462	+09.396347	     224	064.7324617	+09.3963472	111.90	  -3.60	21.54	 6.20	38.12	24.64	 0.24	 0.25	11.522	 0.021	10.884	 0.030	10.621	 0.019
064.741565	+19.906702	     225	064.7415653	+19.9067017	114.59	 -36.40	22.03	 3.26	37.30	25.87	 0.14	 1.01	 7.286	 0.020	 7.000	 0.018	 6.921	 0.016
064.762907	+19.544309	     226	064.7629067	+19.5443092	123.43	 -42.73	24.01	 5.43	37.36	25.78	-0.74	 0.31	10.904	 0.021	10.291	 0.022	10.009	 0.018
064.783368	+17.524750	     227	064.7833678	+17.5247503	113.59	 -29.40	21.89	 2.01	37.61	25.41	 0.05	 1.04	 7.134	 0.023	 6.872	 0.020	 6.787	 0.016
064.874106	+21.753884	     228	064.8741064	+21.7538844	103.24	 -40.65	20.08	 5.74	37.07	26.19	-0.44	 0.51	10.106	 0.021	 9.442	 0.020	 9.222	 0.018
064.948349	+15.627643	     229	064.9483494	+15.6276431	115.48	 -23.42	22.33	 2.42	37.87	25.02	 0.22	 2.60	 1.963	 0.246	 1.496	 0.210	 1.518	 0.204
064.978572	+16.522591	     230	064.9785717	+16.5225914	119.41	 -35.46	23.46	 4.04	37.80	25.13	-1.42	 1.33	 5.820	 0.018	 5.588	 0.021	 5.542	 0.020
064.990431	+14.035200	     231	064.9904314	+14.0352000	114.14	 -20.46	22.17	 2.96	38.02	24.79	-0.24	 1.74	 5.002	 0.037	 4.927	 0.047	 4.853	 0.015
065.044107	-14.761000	     232	065.0441067	-14.7610000	176.79	 113.26	34.92	26.55	35.33	28.49	 0.79	 0.74	 7.554	 0.029	 6.976	 0.053	 6.832	 0.024
065.054031	+19.233479	     233	065.0540306	+19.2334792	115.67	 -34.43	22.39	 3.03	37.51	25.55	 0.30	 1.22	 6.395	 0.018	 6.184	 0.026	 6.124	 0.018
065.122452	+21.378702	     236	065.1224519	+21.3787019	 96.15	 -38.82	18.93	 7.82	37.23	25.96	-0.79	 0.38	11.018	 0.021	10.410	 0.022	10.127	 0.017
065.151294	+15.095451	     237	065.1512936	+15.0954514	108.59	 -21.47	21.14	 2.24	38.00	24.82	 0.04	 1.91	 4.750	 0.048	 4.973	 0.282	 4.689	 0.016
065.219667	+13.864427	     238	065.2196675	+13.8644269	104.26	 -18.07	20.37	 3.94	38.13	24.63	-0.16	 1.61	 5.286	 0.027	 5.155	 0.024	 5.062	 0.018
065.252648	+24.518831	     239	065.2526483	+24.5188308	109.32	 -51.82	21.51	 6.48	36.73	26.66	-0.43	 0.37	10.786	 0.022	10.129	 0.024	 9.888	 0.018
065.267125	+03.268768	     240	065.2671250	+03.2687678	136.75	  16.13	26.70	13.25	38.24	24.45	-0.17	 0.83	 7.655	 0.021	 7.169	 0.046	 7.068	 0.027
065.332342	+12.043899	     242	065.3323417	+12.0438989	110.76	 -10.93	21.63	 4.01	38.28	24.38	 0.45	 0.27	11.361	 0.021	10.754	 0.023	10.483	 0.019
065.347714	+10.867245	     243	065.3477144	+10.8672447	 93.00	 -11.29	18.27	 9.97	38.34	24.30	-0.88	 0.38	11.049	 0.023	10.453	 0.032	10.190	 0.024
065.381873	+21.039878	     244	065.3818728	+21.0398783	105.52	 -35.54	20.50	 4.54	37.39	25.74	 0.62	 1.42	 5.970	 0.020	 5.786	 0.016	 5.762	 0.020
065.384451	+18.417581	     245	065.3844506	+18.4175811	110.27	 -32.27	21.61	 1.91	37.75	25.20	 0.00	 1.38	 5.944	 0.021	 5.794	 0.016	 5.746	 0.016
065.394979	+14.409788	     246	065.3949794	+14.4097878	104.45	 -19.66	20.50	 3.40	38.16	24.58	-0.12	 1.47	 5.784	 0.023	 5.666	 0.033	 5.595	 0.018
065.396211	+14.695228	     247	065.3962106	+14.6952283	104.22	 -25.48	20.64	 3.03	38.14	24.61	-1.26	 0.29	11.296	 0.021	10.686	 0.022	10.441	 0.017
065.409642	+20.302831	     249	065.4096422	+20.3028306	130.77	 -47.18	25.78	 8.08	37.51	25.56	-0.37	 0.20	11.510	 0.022	10.901	 0.020	10.629	 0.017
065.482815	+23.418293	     251	065.4828147	+23.4182933	135.33	 -66.00	27.16	10.73	37.03	26.25	-1.26	 0.44	 9.885	 0.024	 9.224	 0.020	 8.982	 0.019
065.514657	+14.077197	     252	065.5146575	+14.0771972	113.20	 -21.93	22.34	 2.89	38.23	24.46	-0.44	 1.69	 5.052	 0.023	 5.016	 0.021	 4.960	 0.017
065.607046	+11.305709	     254	065.6070456	+11.3057092	118.68	 -12.30	23.42	 5.66	38.43	24.15	-0.12	 0.94	 7.620	 0.024	 7.135	 0.033	 6.948	 0.018
065.625151	+10.434612	     255	065.6251508	+10.4346117	103.49	  -6.94	20.41	 5.98	38.47	24.09	 0.18	 0.60	 9.511	 0.021	 8.847	 0.027	 8.639	 0.022
065.627236	+15.220239	     256	065.6272361	+15.2202386	 94.52	 -19.63	18.65	 7.50	38.19	24.54	 0.00	 0.42	10.775	 0.022	10.138	 0.020	 9.912	 0.017
065.664836	+18.269328	     257	065.6648364	+18.2693281	137.87	 -39.79	27.21	 9.70	37.88	25.00	 0.09	 0.48	 9.605	 0.021	 8.971	 0.024	 8.726	 0.018
065.684047	+15.056089	     259	065.6840472	+15.0560892	111.99	 -20.97	22.06	 2.00	38.22	24.48	 0.39	 1.31	 5.869	 0.018	 5.640	 0.023	 5.558	 0.018
065.686505	+16.790943	     260	065.6865053	+16.7909428	139.95	 -32.63	27.54	10.07	38.06	24.73	 0.44	 1.06	 6.575	 0.020	 6.326	 0.033	 6.203	 0.018
065.733719	+17.542514	     261	065.7337189	+17.5425136	106.58	 -29.17	21.10	 1.65	37.99	24.83	-0.01	 2.60	 2.094	 0.248	 1.579	 0.198	 1.643	 0.228
065.749636	+13.316262	     262	065.7496356	+13.3162622	 90.81	 -14.43	17.99	 9.80	38.38	24.23	-0.07	 0.54	10.122	 0.020	 9.467	 0.020	 9.251	 0.017
065.756267	+15.228221	     263	065.7562667	+15.2282208	107.45	 -22.37	21.27	 1.74	38.24	24.46	 0.03	 0.20	12.023	 0.021	11.419	 0.020	11.119	 0.019
065.797403	+21.058952	     264	065.7974033	+21.0589517	102.35	 -37.44	20.26	 4.84	37.55	25.50	 0.12	 0.34	11.048	 0.020	10.453	 0.021	10.162	 0.019
065.802015	+15.712867	     265	065.8020147	+15.7128667	110.11	 -26.87	21.93	 1.48	38.21	24.50	-0.48	 0.29	11.241	 0.022	10.632	 0.022	10.356	 0.017
065.843041	+21.379097	     266	065.8430414	+21.3790972	 99.25	 -38.28	19.74	 5.95	37.51	25.55	-0.11	 1.01	 7.531	 0.019	 7.197	 0.017	 7.121	 0.016
065.845210	+19.658674	     267	065.8452103	+19.6586736	 99.40	 -33.75	19.77	 5.02	37.77	25.17	-0.14	 0.99	 7.722	 0.024	 7.281	 0.021	 7.151	 0.020
065.849246	+14.427953	     268	065.8492458	+14.4279525	104.59	 -20.83	20.81	 2.74	38.34	24.29	-0.26	 0.43	10.472	 0.022	 9.894	 0.022	 9.630	 0.018
065.854425	+16.777258	     269	065.8544253	+16.7772583	104.58	 -28.27	20.85	 1.90	38.13	24.63	-0.38	 1.77	 5.040	 0.020	 5.009	 0.023	 4.945	 0.021
065.855334	+15.763113	     270	065.8553339	+15.7631131	124.45	 -30.46	24.82	 6.15	38.23	24.47	-0.45	 0.76	 8.193	 0.023	 7.647	 0.040	 7.494	 0.018
065.876670	+24.405403	     271	065.8766700	+24.4054033	 93.62	 -44.54	18.69	 9.86	36.99	26.30	-0.26	 1.37	 6.285	 0.021	 6.141	 0.016	 6.092	 0.016
065.884713	+14.670477	     272	065.8847128	+14.6704769	105.56	 -18.56	20.90	 2.45	38.34	24.30	 0.45	 0.96	 7.611	 0.018	 7.255	 0.020	 7.145	 0.017
065.928992	+15.880924	     273	065.9289922	+15.8809242	116.80	 -31.41	23.44	 3.84	38.25	24.44	-0.91	 0.34	10.693	 0.021	10.102	 0.020	 9.861	 0.018
065.959829	+14.921518	     274	065.9598286	+14.9215181	115.13	 -28.02	23.11	 3.48	38.35	24.29	-0.94	 0.59	 9.293	 0.022	 8.718	 0.024	 8.454	 0.017
